Movie_Title,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
Death at a Funeral,/Death-at-a-Funeral.html,20,2,18,0,0,5,0,0,0,4,0,20988
Death to Smoochy,/Death-to-Smoochy.html,11,3,3,5,6,9,1,0,5,1,0,24751
"Debt, The","/Debt,-The.html",3,12,0,0,0,0,0,0,0,0,0,26661
Deception,/Deception.html,3,3,3,0,0,0,2,0,0,0,0,28179
Deep Cover,/Deep-Cover.html,24,14,3,6,5,4,3,1,0,2,0,21744
Deep Rising,/Deep-Rising.html,25,0,6,3,2,13,1,0,0,2,0,23618
"Deer Hunter, The","/Deer-Hunter,-The.html",14,8,17,1,2,8,0,0,1,3,0,29648
Defiance,/Defiance.html,16,2,1,2,0,3,1,0,0,0,0,24712
"Departed, The","/Departed,-The.html",18,63,0,2,2,8,4,5,3,2,0,29903
"Descendants, The","/Descendants,-The.html",11,12,0,4,0,1,0,1,1,0,0,24760
Despicable Me 2,/Despicable-Me-2.html,0,0,0,0,0,0,0,0,0,0,0,21036
