,Movie_Title,IMDB,Film Rating,Released,Runtime,Genre,Movie_Links,shit,fuck,damn,bitch,asshole,ass,dick,pussy,cock,bastard,douche,total_words
119,Being John Malkovich,0.78,R,03 Dec 1999,113 min,"Comedy, Drama, Fantasy",/Being-John-Malkovich.html,12.0,7.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,21187.0
120,Being There,0.8,PG,26 May 1980,130 min,"Comedy, Drama",/Being-There.html,0.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,25507.0
121,Belle,0.74,PG,13 Jun 2014,100 min,"Biography, Drama, Romance",/Belle.html,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21597.0
122,Beloved,0.59,R,16 Oct 1998,172 min,"Drama, History, Horror",/Beloved.html,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34617.0
123,Big,0.73,PG,03 Jun 1988,104 min,"Comedy, Drama, Family, Fantasy, Romance",/Big.html,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8608.0
124,Big Eyes,0.7,PG-13,25 Dec 2014,106 min,"Biography, Crime, Drama, Romance",/Big-Eyes.html,4.0,1.0,1.0,2.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,23266.0
125,Big Fish,0.8,PG-13,09 Jan 2004,125 min,"Adventure, Drama, Fantasy, Romance",/Big-Fish.html,4.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,26804.0
126,Birdman,0.69,TV-G,09 Sep 1967,30 min,"Animation, Action, Adventure",/Birdman.html,30.0,49.0,0.0,2.0,6.0,11.0,4.0,0.0,0.0,1.0,0.0,23295.0
127,"The Birds, the Bees and the Italians",0.77,N/A,10 Feb 1966,115 min,Comedy,,,,,,,,,,,,,
128,Birthday Girl,0.61,R,01 Feb 2002,93 min,"Comedy, Crime, Thriller",/Birthday-Girl.html,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17887.0
129,Black Rain,0.66,R,22 Sep 1989,125 min,"Action, Crime, Thriller",/Black-Rain.html,9.0,1.0,1.0,2.0,0.0,8.0,0.0,1.0,0.0,4.0,0.0,22116.0
